Model,Base,F-guided,T-guided
Llama-3.2-3B,ENFJ,ENFP,INTJ
Qwen2.5-3B,ENFJ,ENFJ,ENTJ
Qwen2.5-7B,ESTJ,ENFJ,ESTJ
