dataset,s_base,s_F,s_T,delta_F_vs_base,delta_T_vs_base,is_reverse_shift
mental,-0.710019844394746,-0.8008315746369735,-0.7214539956531325,-0.09081173024222755,-0.011434151258386538,False
news,0.19998323694577153,0.20635319755259407,0.11629368871008294,0.0063699606068225445,-0.08368954823568858,True
