model_root,pair,model,domain,n_datasets,n_improve_acc,n_decline_acc,n_tie_acc,improve_rate_acc,mean_delta_acc,median_delta_acc,n_improve_f1,n_decline_f1,n_tie_f1,improve_rate_f1,mean_delta_f1,median_delta_f1
qwen-3b_newlayout,energy,E,mental,1,0,1,0,0.0,-0.023057296752449052,-0.023057296752449052,0,1,0,0.0,-0.02305785930360149,-0.02305785930360149
qwen-3b_newlayout,energy,E,movie,3,2,0,1,0.6666666666666666,0.020266666666666693,0.015000000000000013,2,0,1,0.6666666666666666,0.02119441234613051,0.01519022265596881
qwen-3b_newlayout,energy,I,finance,2,1,1,0,0.5,-0.009333291318517067,-0.009333291318517067,0,1,1,0.0,-0.01033779497706111,-0.01033779497706111
qwen-3b_newlayout,energy,I,mental,1,0,1,0,0.0,-0.03313698932182563,-0.03313698932182563,0,1,0,0.0,-0.033273587829027895,-0.033273587829027895
qwen-3b_newlayout,energy,I,movie,3,0,2,1,0.0,-0.017199999999999993,-0.006800000000000028,0,2,1,0.0,-0.01886310595313497,-0.006885290410321154
qwen-3b_newlayout,execution,J,finance,2,1,0,1,0.5,0.01623969109678175,0.01623969109678175,0,0,2,0.0,-0.0004351107477883476,-0.0004351107477883476
qwen-3b_newlayout,execution,J,mental,1,0,1,0,0.0,-0.03181402967209501,-0.03181402967209501,0,1,0,0.0,-0.031933919587839865,-0.031933919587839865
qwen-3b_newlayout,execution,J,movie,3,2,0,1,0.6666666666666666,0.0074999999999999884,0.010099999999999998,2,0,1,0.6666666666666666,0.007779842136831509,0.010228864995778353
qwen-3b_newlayout,execution,P,finance,2,1,1,0,0.5,-0.005216803954365912,-0.005216803954365912,0,1,1,0.0,-0.006458474006259041,-0.006458474006259041
qwen-3b_newlayout,execution,P,mental,1,0,1,0,0.0,-0.028947617097678457,-0.028947617097678457,0,1,0,0.0,-0.02899932736207922,-0.02899932736207922
qwen-3b_newlayout,execution,P,movie,3,1,1,1,0.3333333333333333,-0.002166666666666687,-0.0007000000000000339,1,1,1,0.3333333333333333,-0.0024314619837427407,-0.0006943984637667322
qwen-3b_newlayout,information,N,finance,2,0,0,2,0.0,-6.22719597618282e-05,-6.22719597618282e-05,0,1,1,0.0,-0.0038573314297795647,-0.0038573314297795647
qwen-3b_newlayout,information,N,mental,1,0,1,0,0.0,-0.061706617948152576,-0.061706617948152576,0,1,0,0.0,-0.06269624239299221,-0.06269624239299221
qwen-3b_newlayout,information,N,movie,3,1,0,2,0.3333333333333333,0.0038000000000000256,0.0022999999999999687,1,0,2,0.3333333333333333,0.0038477264565992173,0.002332824898209629
qwen-3b_newlayout,information,S,finance,2,2,0,0,1.0,0.01577399115673861,0.01577399115673861,2,0,0,1.0,0.009833535827429463,0.009833535827429463
qwen-3b_newlayout,information,S,mental,1,0,0,1,0.0,-0.004630358774057375,-0.004630358774057375,0,0,1,0.0,-0.004554470889287288,-0.004554470889287288
qwen-3b_newlayout,information,S,movie,3,2,0,1,0.6666666666666666,0.0030333333333333323,0.006000000000000005,2,0,1,0.6666666666666666,0.0031493744994673203,0.006344242648899101
qwen-7b_newlayout,decision,F,finance,2,1,1,0,0.5,0.0007554092468179396,0.0007554092468179396,1,1,0,0.5,0.0009177545512157326,0.0009177545512157326
qwen-7b_newlayout,decision,F,mental,1,0,1,0,0.0,-0.030774561375877973,-0.030774561375877973,0,1,0,0.0,-0.032772129735146316,-0.032772129735146316
qwen-7b_newlayout,decision,F,movie,3,1,0,2,0.3333333333333333,0.00836666666666667,0.0008000000000000229,1,0,2,0.3333333333333333,0.006852394792122259,0.0017475510175971598
qwen-7b_newlayout,decision,T,finance,2,1,1,0,0.5,-0.0155080759550707,-0.0155080759550707,0,1,1,0.0,-0.013848849504280836,-0.013848849504280836
qwen-7b_newlayout,decision,T,mental,1,1,0,0,1.0,0.027498661290830673,0.027498661290830673,1,0,0,1.0,0.028573821892231566,0.028573821892231566
qwen-7b_newlayout,decision,T,movie,3,0,2,1,0.0,-0.013533333333333323,-0.005099999999999993,0,1,2,0.0,-0.011101096471373436,-0.0049578103669112306
qwen-7b_newlayout,energy,E,finance,2,1,1,0,0.5,0.010274444638084135,0.010274444638084135,1,0,1,0.5,0.0073082930811533275,0.0073082930811533275
qwen-7b_newlayout,energy,E,mental,1,0,1,0,0.0,-0.033168488361104975,-0.033168488361104975,0,1,0,0.0,-0.03501178785125003,-0.03501178785125003
qwen-7b_newlayout,energy,E,movie,3,1,0,2,0.3333333333333333,0.0043333333333333375,0.0028000000000000247,1,0,2,0.3333333333333333,0.004408154715676867,0.004387592956510145
qwen-7b_newlayout,energy,I,finance,2,1,1,0,0.5,-0.006173498468709959,-0.006173498468709959,1,1,0,0.5,-0.0018828030850195354,-0.0018828030850195354
qwen-7b_newlayout,energy,I,mental,1,0,1,0,0.0,-0.0494534916685041,-0.0494534916685041,0,1,0,0.0,-0.05267263085214058,-0.05267263085214058
qwen-7b_newlayout,energy,I,movie,3,0,1,2,0.0,-0.0040999999999999925,-0.0020999999999999908,0,1,2,0.0,-0.0033072513945833215,-0.0022658714704565375
