model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
llama-3b_newlayout,energy,imdb_sklearn,movie,avg,E,0.9336,0.9335448794648232,0.93735,0.9373760831308372,0.003750000000000031,0.0038312036660139714,tie,tie,10000.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,mental,mental,avg,E,0.5971272876177277,0.5481880514291009,0.6251614325763064,0.594763245620485,0.0280341449585787,0.04657519419138412,improve,improve,31747.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,news,finance,avg,E,0.600033526108457,0.6044963210398845,0.4998323694577152,0.5206305283000596,-0.10020115665074175,-0.08386579273982486,decline,decline,11931.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,sst2,movie,avg,E,0.8071,0.829650405547375,0.86115,0.8709661247661735,0.05404999999999993,0.04131571921879851,improve,improve,10000.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,fiqasa,finance,avg,I,0.5140664961636828,0.4598915552665369,0.5358056265984654,0.470285018356557,0.021739130434782594,0.010393463090020094,improve,improve,1173.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,imdb,movie,avg,I,0.9265,0.927965996497824,0.9183,0.920310314928281,-0.008199999999999985,-0.007655681569542994,decline,decline,10000.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,imdb_sklearn,movie,avg,I,0.9336,0.9335448794648232,0.93005,0.9300093645941908,-0.003549999999999942,-0.003535514870632417,tie,tie,10000.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,mental,mental,avg,I,0.5971272876177277,0.5481880514291009,0.5652345103474344,0.4983711551786129,-0.03189277727029327,-0.04981689625048796,decline,decline,31747.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,news,finance,avg,I,0.600033526108457,0.6044963210398845,0.6686363255385132,0.6494292286620509,0.0686027994300562,0.044932907622166396,improve,improve,11931.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,energy,sst2,movie,avg,I,0.8071,0.829650405547375,0.77,0.7985884525457474,-0.03710000000000002,-0.031061953001627618,decline,decline,10000.0,llama-3b_newlayout/energy/summaries/sentiment.csv
llama-3b_newlayout,execution,fiqasa,finance,avg,J,0.5140664961636828,0.4598915552665369,0.6602728047740836,0.5398590209395104,0.14620630861040074,0.07996746567297353,improve,improve,1173.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,imdb,movie,avg,J,0.9265,0.927965996497824,0.92285,0.9236230383323144,-0.003650000000000042,-0.004342958165509558,tie,tie,10000.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,imdb_sklearn,movie,avg,J,0.9336,0.9335448794648232,0.933,0.9335971097552214,-0.0005999999999999339,5.2230290398136425e-05,tie,tie,10000.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,mental,mental,avg,J,0.5971272876177277,0.5481880514291009,0.6218540334519798,0.5943192263078836,0.02472674583425205,0.04613117487878271,improve,improve,31747.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,news,finance,avg,J,0.600033526108457,0.6044963210398845,0.5933283044170647,0.5944461322522188,-0.006705221691392205,-0.010050188787665726,decline,decline,11931.0,llama-3b_newlayout/execution/summaries/sentiment.csv
