pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
energy,mental,run-002,I,mcnemar_exact,1006.0,1,2.2304184463277204e-270,0.1737264244043725,0.0311085612290431,0.0015824961794965,31747,31374,373,normal|depression,llama-3b_newlayout,energy
energy,news,run-001,E,stuart_maxwell,1470.822207169599,2,0.0,0.2482713858826529,0.1212806973430559,0.0142329041902505,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,energy
energy,news,run-002,E,stuart_maxwell,1488.966317417756,2,0.0,0.2497980340357718,0.1218674042410526,0.0144942203603453,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,energy
energy,news,run-001,I,stuart_maxwell,1716.3414088917043,2,0.0,0.2681936059632954,0.148185399379767,0.0183580192537715,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,energy
energy,news,run-002,I,stuart_maxwell,1699.1253894033518,2,0.0,0.266845137877554,0.1463414634146341,0.017989051576158,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,energy
energy,fiqasa,run-001,E,stuart_maxwell,371.63557635083833,2,1.996916732157729e-81,0.3980105986493149,0.2855924978687127,0.123925001738036,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,fiqasa,run-002,E,stuart_maxwell,379.0305702878255,2,4.949455520108961e-83,0.401951001946537,0.2966751918158568,0.1237069672962606,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,fiqasa,run-001,I,stuart_maxwell,55.45428062793332,2,9.083557353938468e-13,0.1537458967880776,0.0750213128729752,0.005280466972749,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,fiqasa,run-002,I,stuart_maxwell,31.59821280820784,2,1.3757365313312716e-07,0.1160559085809168,0.0494458653026427,0.0024371783891573,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb_sklearn,run-001,E,stuart_maxwell,83.93495934959557,2,5.939572090178079e-19,0.0647823121498436,0.0101999999999999,0.0001244926552469,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb_sklearn,run-002,E,stuart_maxwell,104.9104477611921,2,1.6557155274518677e-23,0.0724259786820972,0.0118999999999999,0.0001515265231644,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb_sklearn,run-001,I,stuart_maxwell,50.80373831775884,2,9.291982736789882e-12,0.0504002670219904,0.0072999999999999,8.814606396558735e-05,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,imdb_sklearn,run-002,I,stuart_maxwell,28.173913043478493,2,7.622764728981915e-07,0.0375325945302736,0.005,6.778452304444767e-05,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,sst2,run-001,E,stuart_maxwell,666.4110003022063,2,1.952944694047445e-145,0.1825391739192174,0.0615,0.0074766110015337,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,sst2,run-002,E,stuart_maxwell,701.9324111547838,2,3.778449161449957e-153,0.1873409206706831,0.0657999999999999,0.0075578718380562,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,sst2,run-001,I,stuart_maxwell,435.16998491383913,2,3.191820288842736e-95,0.1475076243646136,0.0435,0.0023290612717771,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
energy,sst2,run-002,I,stuart_maxwell,395.8835267030834,2,1.083888075113404e-86,0.1406917777809143,0.0392,0.0022322561826252,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,energy
execution,imdb,run-001,J,stuart_maxwell,62.58873929008566,2,2.5646490762215576e-14,0.0559413707778445,0.0082999999999999,0.0001964729249767,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,imdb,run-002,J,stuart_maxwell,40.118248175182494,2,1.942822377038371e-09,0.0447874135082516,0.0059999999999999,0.0001326249173825,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,imdb,run-001,P,stuart_maxwell,97.23598820058996,2,7.681984756240821e-22,0.0697266047504788,0.0111999999999999,0.0007485857396535,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,imdb,run-002,P,stuart_maxwell,120.166149068323,2,8.058464072846151e-27,0.0775132727564521,0.0130999999999999,0.0011063357294073,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,mental,run-001,J,mcnemar_exact,2636.0,1,2.289497411868368e-187,0.1610421427543616,0.0468885672937771,0.0028610508524238,31747,31095,652,normal|depression,llama-3b_newlayout,execution
execution,mental,run-002,J,mcnemar_exact,2617.0,1,3.7488539452190336e-172,0.1544780053523354,0.0447674978338307,0.0026247384047391,31747,31161,586,normal|depression,llama-3b_newlayout,execution
execution,mental,run-001,P,mcnemar_exact,10162.0,1,0.0,0.5981781073440371,0.3586641194367791,0.1104688900574993,31747,28266,3481,normal|depression,llama-3b_newlayout,execution
execution,mental,run-002,P,mcnemar_exact,10217.0,1,0.0,0.5961101789604467,0.3562539327413829,0.1096774320125473,31747,28606,3141,normal|depression,llama-3b_newlayout,execution
execution,news,run-001,J,stuart_maxwell,324.4905042958536,2,3.449707533842041e-71,0.1166131630663789,0.0352024138798088,0.0013269949813683,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,execution
execution,news,run-002,J,stuart_maxwell,325.39216677263863,2,2.197802980718224e-71,0.1167750672996218,0.0370463498449417,0.0013699467311392,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,execution
execution,news,run-001,P,stuart_maxwell,85.10770735603087,2,3.3044270141263745e-19,0.059721543718971,0.0207023719721733,0.0005253520945491,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,execution
execution,news,run-002,P,stuart_maxwell,109.78028511422328,2,1.4504874534702362e-24,0.0678279601747643,0.0253960271561478,0.00074248341401,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,execution
execution,fiqasa,run-001,J,stuart_maxwell,301.3918792913453,2,3.577543858579724e-66,0.3584278683115051,0.2310315430520033,0.077328499746528,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,fiqasa,run-002,J,stuart_maxwell,299.55086273499865,2,8.981660445879827e-66,0.3573314843980497,0.2293265132139813,0.0763148819956939,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,fiqasa,run-001,P,stuart_maxwell,111.41787783794057,2,6.396099848154354e-25,0.2179282027427824,0.0895140664961636,0.0107436107335925,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,fiqasa,run-002,P,stuart_maxwell,113.7141847105612,2,2.0289835828732195e-25,0.2201624842802871,0.0946291560102301,0.0110227470427816,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,imdb_sklearn,run-001,J,stuart_maxwell,22.93675072343941,2,1.045557361220534e-05,0.0338649898297928,0.0048,0.0006630582569894,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
