model_root,dimension,dataset,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,p_value_clamped,neg_log10_p
qwen-7b_newlayout,decision,fiqasa,1.8282634134967076e-11,0.1517540669289592,0.0477408354646206,0.0021009850564253,1173.0,1173.0,0.0,1.8282634134967076e-11,10.737961231585524
qwen-7b_newlayout,decision,imdb,8.55419723914649e-22,0.07588329264958865,0.01149999999999995,0.00013020517601895,10000.0,10000.0,0.0,8.55419723914649e-22,21.067820740180988
qwen-7b_newlayout,decision,imdb_sklearn,7.75317928092427e-24,0.07819210886378533,0.0121999999999999,0.00026943912050245,10000.0,10000.0,0.0,7.75317928092427e-24,23.11052017349007
qwen-7b_newlayout,decision,mental,0.0,0.18679284282211228,0.0350049491480537,0.0009371760904972249,31747.0,31745.5,1.5,1e-300,300.0
qwen-7b_newlayout,decision,news,2.79836098620334e-104,0.1436709488216376,0.040964713770848996,0.001404661445039475,11931.0,11931.0,0.0,2.79836098620334e-104,103.55309626260907
qwen-7b_newlayout,decision,sst2,1.0749297211837507e-72,0.13330556710054953,0.0354,0.0016385649287259,10000.0,10000.0,0.0,1.0749297211837507e-72,71.96861992895751
qwen-7b_newlayout,energy,fiqasa,7.046672186546209e-10,0.13544203305860092,0.0375106564364876,0.0012861360527236499,1173.0,1173.0,0.0,7.046672186546209e-10,9.15201593155162
qwen-7b_newlayout,energy,imdb,3.198031072039892e-13,0.05620302677014335,0.0061999999999999,3.7071560988180176e-05,10000.0,10000.0,0.0,3.198031072039892e-13,12.495117320968173
qwen-7b_newlayout,energy,imdb_sklearn,1.7195172351784357e-06,0.05527487704341885,0.0084,0.0005128150063721,10000.0,10000.0,0.0,1.7195172351784357e-06,5.764593466771089
qwen-7b_newlayout,energy,mental,2.719488779769052e-225,0.19874378134081755,0.051178153146304146,0.0021338199272599003,31747.0,31688.75,58.25,2.719488779769052e-225,224.5655127286835
qwen-7b_newlayout,energy,news,2.0323116408747224e-48,0.10974357687301495,0.024264520995725347,0.00052331006860645,11931.0,11931.0,0.0,2.0323116408747224e-48,47.692009695239165
qwen-7b_newlayout,energy,sst2,2.416953955585284e-34,0.0879803302508528,0.0141999999999999,0.0001593807820771,10000.0,10000.0,0.0,2.416953955585284e-34,33.61673162308251
qwen-7b_newlayout,execution,fiqasa,4.174300675403065e-08,0.1212391406086408,0.0294117647058823,0.0007384677115159,1173.0,1173.0,0.0,4.174300675403065e-08,7.379416271857681
qwen-7b_newlayout,execution,imdb,0.007215131801422499,0.0224297067492823,0.00144999999999995,1.70679182577855e-05,10000.0,10000.0,0.0,0.007215131801422499,2.1417557310836295
qwen-7b_newlayout,execution,imdb_sklearn,5.202106412310081e-11,0.056143740703323855,0.00859999999999995,0.00056489931377025,10000.0,10000.0,0.0,5.202106412310081e-11,10.283820768286551
qwen-7b_newlayout,execution,mental,2.525180241387236e-208,0.191586493397471,0.048820016323504724,0.0019319192860451498,31747.0,31679.25,67.75,2.525180241387236e-208,207.59770761752702
qwen-7b_newlayout,execution,news,2.3710905761862283e-67,0.1227983441155759,0.0292096219931271,0.0007037521788649,11931.0,11931.0,0.0,2.3710905761862283e-67,66.62505185555933
qwen-7b_newlayout,execution,sst2,2.819854567299552e-08,0.052162855836191575,0.00577499999999995,0.0001382455929133816,10000.0,10000.0,0.0,2.819854567299552e-08,7.549773289640925
qwen-7b_newlayout,information,fiqasa,1.511995195035499e-07,0.11582902114047344,0.028985507246376753,0.00071637821069875,1173.0,1173.0,0.0,1.511995195035499e-07,6.820449588975609
qwen-7b_newlayout,information,imdb,2.128633118412756e-05,0.03801925263783445,0.00359999999999995,7.264393152638609e-05,10000.0,10000.0,0.0,2.128633118412756e-05,4.671899185146536
qwen-7b_newlayout,information,imdb_sklearn,5.179565129853779e-06,0.05552163549826365,0.00894999999999995,0.0007707835995821499,10000.0,10000.0,0.0,5.179565129853779e-06,5.285706701573865
qwen-7b_newlayout,information,mental,1.2058073216955243e-69,0.18787087096790478,0.05241382247436624,0.0029200788320786,31747.0,31686.0,61.0,1.2058073216955243e-69,68.91872208341451
qwen-7b_newlayout,information,news,0.06825489164295775,0.04476662226589695,0.0088006034699522,9.94074957849103e-05,11931.0,11931.0,0.0,0.06825489164295775,1.165866218464251
qwen-7b_newlayout,information,sst2,6.3733117662801086e-27,0.08176225853178315,0.013599999999999949,0.00024658769062759997,10000.0,10000.0,0.0,6.3733117662801086e-27,26.19563483641369
