model_root,dimension,dataset,model,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,test,labels,p_value_clamped,neg_log10_p,significant,conclusion
qwen-7b_newlayout,execution,fiqasa,J,33.0,2.0,6.825603376334866e-08,0.1186022603649815,0.0281329923273657,0.0006895881894961,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,6.825603376334866e-08,7.1658589514036555,True,显著差异
qwen-7b_newlayout,execution,fiqasa,P,36.0,2.0,1.5229979744712642e-08,0.1238760208523001,0.0306905370843989,0.0007873472335357,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.5229979744712642e-08,7.817300674258533,True,显著差异
qwen-7b_newlayout,execution,imdb,J,9.125874125874123,2.0,0.0104313762983451,0.0213610324257444,0.0014999999999999,2.432387352904286e-05,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,0.0104313762983451,1.9816583877053975,True,显著差异
qwen-7b_newlayout,execution,imdb,P,11.043478260869566,2.0,0.0039988873044999,0.0234983810728202,0.0014,9.811962986528143e-06,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,0.0039988873044999,2.3980608348570938,True,显著差异
qwen-7b_newlayout,execution,imdb_sklearn,J,45.972450459159006,2.0,1.0404212719951062e-10,0.0479439518913277,0.0067,0.000436782725905,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.0404212719951062e-10,9.982790776991687,True,显著差异
qwen-7b_newlayout,execution,imdb_sklearn,P,82.80179580977719,2.0,1.0466910100636917e-18,0.06434352951532,0.0104999999999999,0.0006930159016355,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.0466910100636917e-18,17.980181505933018,True,显著差异
qwen-7b_newlayout,execution,mental,J,2214.0,1.0,0.0,0.2178485836353457,0.057573702354579995,0.0026126245322474,31747.0,31698.5,48.5,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
qwen-7b_newlayout,execution,mental,P,1859.5,1.0,5.050360482774472e-208,0.1653244031595963,0.04006633029242945,0.0012512140398428999,31747.0,31660.0,87.0,mcnemar_exact,normal|depression,5.050360482774472e-208,207.29667762186304,True,显著差异
qwen-7b_newlayout,execution,news,J,305.4334080840125,2.0,4.7421811523724566e-67,0.1131370494455938,0.0228815690218757,0.0004571943024782,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,4.7421811523724566e-67,66.32402185989535,True,显著差异
qwen-7b_newlayout,execution,news,P,418.6720550576184,2.0,1.2204454726931417e-91,0.132459638785558,0.0355376749643785,0.0009503100552516,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,1.2204454726931417e-91,90.91348161930905,True,显著差异
qwen-7b_newlayout,execution,sst2,J,80.43873393920401,2.0,3.4115430773420722e-18,0.0634187408969951,0.0069,0.0001960919152658,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,3.4115430773420722e-18,17.467049140540063,True,显著差异
qwen-7b_newlayout,execution,sst2,P,33.470291670265766,2.0,5.6397091342579496e-08,0.040906970775388046,0.0046499999999999,8.039927056096316e-05,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,5.6397091342579496e-08,7.248743294003214,True,显著差异
qwen-7b_newlayout,information,fiqasa,N,30.95391705069124,2.0,1.898638642878406e-07,0.1148666097861902,0.0306905370843989,0.0008149132008715,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.898638642878406e-07,6.721557684203093,True,显著差异
qwen-7b_newlayout,information,fiqasa,S,32.0,2.0,1.1253517471925917e-07,0.1167914324947567,0.0272804774083546,0.000617843220526,1173.0,1173.0,0.0,stuart_maxwell,positive|negative|neutral,1.1253517471925917e-07,6.948711710452029,True,显著差异
qwen-7b_newlayout,information,imdb,N,20.12873563218392,2.0,4.256970039476739e-05,0.0317243878051129,0.0026,6.323468515633272e-05,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,4.256970039476739e-05,4.370899406373419,True,显著差异
qwen-7b_newlayout,information,imdb,S,39.2748201438849,2.0,2.9619734877256966e-09,0.044314117470556,0.0045999999999999,8.205317789643945e-05,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,2.9619734877256966e-09,8.528418833115946,True,显著差异
qwen-7b_newlayout,information,imdb_sklearn,N,119.08751536827988,2.0,1.3818936016491583e-26,0.0771646017835509,0.0138,0.0013067481642005,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.3818936016491583e-26,25.859525394006322,True,显著差异
qwen-7b_newlayout,information,imdb_sklearn,S,22.955284552845526,2.0,1.0359130259707558e-05,0.0338786692129764,0.0040999999999999,0.0002348190349638,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.0359130259707558e-05,4.984676705909884,True,显著差异
qwen-7b_newlayout,information,mental,N,2784.0,1.0,0.0,0.2782473660138925,0.08245666610886729,0.0054542719725017,31747.0,31701.5,45.5,mcnemar_exact,normal|depression,1e-300,300.0,True,显著差异
qwen-7b_newlayout,information,mental,S,1667.5,1.0,2.4116146433910486e-69,0.09749437592191705,0.022370978839865198,0.0003858856916555,31747.0,31670.5,76.5,mcnemar_exact,normal|depression,2.4116146433910486e-69,68.61769208775053,True,显著差异
qwen-7b_newlayout,information,news,N,3.982717989002357,2.0,0.1365097832859155,0.0129192218831467,0.0026820886765568,6.314451899920581e-06,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,0.1365097832859155,0.86483622280027,False,不显著
qwen-7b_newlayout,information,news,S,140.06298342541436,2.0,3.8522067661650966e-31,0.0766140226486472,0.0149191182633476,0.0001925005396699,11931.0,11931.0,0.0,stuart_maxwell,neutral|bearish|bullish,3.8522067661650966e-31,30.414290410282035,True,显著差异
qwen-7b_newlayout,information,sst2,N,119.24906289046228,2.0,1.2746619071887691e-26,0.0772169226563912,0.0125999999999999,0.0001342907564289,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,1.2746619071887691e-26,25.894604992730805,True,显著差异
qwen-7b_newlayout,information,sst2,S,148.98001704706886,2.0,4.460672526097685e-33,0.0863075944071751,0.0146,0.0003588846248263,10000.0,10000.0,0.0,stuart_maxwell,positive|negative|neutral,4.460672526097685e-33,32.3505996586972,True,显著差异
