pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
energy,mental,run-002,I,mcnemar_exact,2289.0,1,0.0,0.2262690270387137,0.0608155021144985,0.0029217186465835,31747,31686,61,normal|depression,qwen-7b_newlayout,energy
energy,news,run-001,E,stuart_maxwell,218.24352679725047,2,4.064623281749445e-48,0.095635088679798,0.0193613276338948,0.0002766252054467,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,energy
energy,news,run-002,E,stuart_maxwell,218.24352679725047,2,4.064623281749445e-48,0.095635088679798,0.0193613276338948,0.0002766252054467,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,energy
energy,news,run-001,I,stuart_maxwell,366.0271884131622,2,3.2976603525300046e-80,0.1238520650662319,0.0291677143575559,0.0007699949317662,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,energy
energy,news,run-002,I,stuart_maxwell,366.0271884131622,2,3.2976603525300046e-80,0.1238520650662319,0.0291677143575559,0.0007699949317662,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,energy
energy,fiqasa,run-001,E,stuart_maxwell,45.12195121951218,2,1.5918157092250018e-10,0.1386851408578519,0.0383631713554987,0.001340517619395,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,fiqasa,run-002,E,stuart_maxwell,45.12195121951218,2,1.5918157092250018e-10,0.1386851408578519,0.0383631713554987,0.001340517619395,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,fiqasa,run-001,I,stuart_maxwell,41.0,2,1.2501528663867415e-09,0.1321989252593499,0.0366581415174765,0.0012317544860523,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,fiqasa,run-002,I,stuart_maxwell,41.0,2,1.2501528663867415e-09,0.1321989252593499,0.0366581415174765,0.0012317544860523,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb_sklearn,run-001,E,stuart_maxwell,112.74315391879122,2,3.297123314609538e-25,0.0750810075581006,0.013,0.0005813427039944,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb_sklearn,run-002,E,stuart_maxwell,112.74315391879122,2,3.297123314609538e-25,0.0750810075581006,0.013,0.0005813427039944,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb_sklearn,run-001,I,stuart_maxwell,25.16063960639606,2,3.4390344703568714e-06,0.0354687465287371,0.0038,0.0004442873087498,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,imdb_sklearn,run-002,I,stuart_maxwell,25.16063960639606,2,3.4390344703568714e-06,0.0354687465287371,0.0038,0.0004442873087498,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,sst2,run-001,E,stuart_maxwell,154.81077022098262,2,2.416953955585284e-34,0.0879803302508528,0.0141999999999999,0.0001596981904335,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,sst2,run-002,E,stuart_maxwell,154.81077022098262,2,2.416953955585284e-34,0.0879803302508528,0.0141999999999999,0.0001596981904335,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,sst2,run-001,I,stuart_maxwell,154.81077022098262,2,2.416953955585284e-34,0.0879803302508528,0.0141999999999999,0.0001590633737207,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
energy,sst2,run-002,I,stuart_maxwell,154.81077022098262,2,2.416953955585284e-34,0.0879803302508528,0.0141999999999999,0.0001590633737207,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,energy
execution,imdb,run-001,J,stuart_maxwell,9.125874125874123,2,0.0104313762983451,0.0213610324257444,0.0014999999999999,2.432387352904286e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb,run-002,J,stuart_maxwell,9.125874125874123,2,0.0104313762983451,0.0213610324257444,0.0014999999999999,2.432387352904286e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb,run-001,P,stuart_maxwell,11.043478260869566,2,0.0039988873044999,0.0234983810728202,0.0014,9.811962986528143e-06,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb,run-002,P,stuart_maxwell,11.043478260869566,2,0.0039988873044999,0.0234983810728202,0.0014,9.811962986528143e-06,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,mental,run-001,J,mcnemar_exact,2213.0,1,0.0,0.2179029359915504,0.057576426791179,0.0026129209438866,31747,31697,50,normal|depression,qwen-7b_newlayout,execution
execution,mental,run-002,J,mcnemar_exact,2215.0,1,0.0,0.217794231279141,0.057570977917981,0.0026123281206082,31747,31700,47,normal|depression,qwen-7b_newlayout,execution
execution,mental,run-001,P,mcnemar_exact,1859.0,1,2.437218572759079e-208,0.1654144064011366,0.040083388609874,0.0012522978445446,31747,31659,88,normal|depression,qwen-7b_newlayout,execution
execution,mental,run-002,P,mcnemar_exact,1860.0,1,7.6635023927898645e-208,0.165234399918056,0.0400492719749849,0.0012501302351412,31747,31661,86,normal|depression,qwen-7b_newlayout,execution
execution,news,run-001,J,stuart_maxwell,305.4334080840125,2,4.7421811523724566e-67,0.1131370494455938,0.0228815690218757,0.0004571943024782,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,execution
execution,news,run-002,J,stuart_maxwell,305.4334080840125,2,4.7421811523724566e-67,0.1131370494455938,0.0228815690218757,0.0004571943024782,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,execution
execution,news,run-001,P,stuart_maxwell,418.6720550576184,2,1.2204454726931417e-91,0.132459638785558,0.0355376749643785,0.0009503100552516,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,execution
execution,news,run-002,P,stuart_maxwell,418.6720550576184,2,1.2204454726931417e-91,0.132459638785558,0.0355376749643785,0.0009503100552516,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,execution
execution,fiqasa,run-001,J,stuart_maxwell,33.0,2,6.825603376334866e-08,0.1186022603649815,0.0281329923273657,0.0006895881894961,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,fiqasa,run-002,J,stuart_maxwell,33.0,2,6.825603376334866e-08,0.1186022603649815,0.0281329923273657,0.0006895881894961,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,fiqasa,run-001,P,stuart_maxwell,36.0,2,1.5229979744712642e-08,0.1238760208523001,0.0306905370843989,0.0007873472335357,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,fiqasa,run-002,P,stuart_maxwell,36.0,2,1.5229979744712642e-08,0.1238760208523001,0.0306905370843989,0.0007873472335357,1173,1173,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb_sklearn,run-001,J,stuart_maxwell,45.972450459159006,2,1.0404212719951062e-10,0.0479439518913277,0.0067,0.000436782725905,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb_sklearn,run-002,J,stuart_maxwell,45.972450459159006,2,1.0404212719951062e-10,0.0479439518913277,0.0067,0.000436782725905,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb_sklearn,run-001,P,stuart_maxwell,82.80179580977719,2,1.0466910100636917e-18,0.06434352951532,0.0104999999999999,0.0006930159016355,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,imdb_sklearn,run-002,P,stuart_maxwell,82.80179580977719,2,1.0466910100636917e-18,0.06434352951532,0.0104999999999999,0.0006930159016355,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,sst2,run-001,J,stuart_maxwell,80.43873393920401,2,3.4115430773420722e-18,0.0634187408969951,0.0069,0.0001960919152658,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,sst2,run-002,J,stuart_maxwell,80.43873393920401,2,3.4115430773420722e-18,0.0634187408969951,0.0069,0.0001960919152658,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
