model,dataset,variant,label,proportion,macro_f1
Llama-3.2-3B,News,I,neutral,0.44455619813930103,0.6494292286620509
Llama-3.2-3B,News,I,bearish,0.26468862626770595,0.6494292286620509
Llama-3.2-3B,News,S,bullish,0.34410359567513205,0.607486408403984
Llama-3.2-3B,News,S,neutral,0.33748218925488227,0.607486408403984
Llama-3.2-3B,News,S,bearish,0.31841421506998574,0.607486408403984
Llama-3.2-3B,News,N,bullish,0.5896823401223704,0.5168150474843185
Llama-3.2-3B,News,N,neutral,0.21330986505741342,0.5168150474843185
Llama-3.2-3B,News,N,bearish,0.19700779482021621,0.5168150474843185
Llama-3.2-3B,News,F,bullish,0.4723828681585785,0.5551737664774236
Llama-3.2-3B,News,F,neutral,0.26158746123543714,0.5551737664774236
Llama-3.2-3B,News,F,bearish,0.26602967060598437,0.5551737664774236
Llama-3.2-3B,News,T,bullish,0.3552510267370715,0.6494256080603952
Llama-3.2-3B,News,T,neutral,0.40579163523594,0.6494256080603952
Llama-3.2-3B,News,T,bearish,0.2389573380269885,0.6494256080603952
Llama-3.2-3B,News,J,bullish,0.407048864303076,0.5944461322522188
Llama-3.2-3B,News,J,neutral,0.3187913837901265,0.5944461322522188
Llama-3.2-3B,News,J,bearish,0.2741597519067974,0.5944461322522188
Llama-3.2-3B,News,P,bullish,0.4387729444304752,0.566368292112998
Llama-3.2-3B,News,P,neutral,0.3016092532059341,0.566368292112998
Llama-3.2-3B,News,P,bearish,0.2596178023635906,0.566368292112998
Llama-3.2-3B,Mental,Base,normal,0.14203589010639983,0.5481880514291009
Llama-3.2-3B,Mental,Base,depression,0.8579641098936002,0.5481880514291009
Llama-3.2-3B,Mental,E,normal,0.18260341992240506,0.594763245620485
Llama-3.2-3B,Mental,E,depression,0.817396580077595,0.594763245620485
Llama-3.2-3B,Mental,I,normal,0.10745955566856308,0.4983711551786129
Llama-3.2-3B,Mental,I,depression,0.892540444331437,0.4983711551786129
Llama-3.2-3B,Mental,S,normal,0.15830809992429976,0.5779823474677219
Llama-3.2-3B,Mental,S,depression,0.8416919000757003,0.5779823474677219
Llama-3.2-3B,Mental,N,normal,0.09833965844402276,0.4887805819687594
Llama-3.2-3B,Mental,N,depression,0.9016603415559772,0.4887805819687594
Llama-3.2-3B,Mental,F,normal,0.0967772632113176,0.4853706358161589
Llama-3.2-3B,Mental,F,depression,0.9032227367886824,0.4853706358161589
Llama-3.2-3B,Mental,T,normal,0.13756052789821815,0.5440693202372702
Llama-3.2-3B,Mental,T,depression,0.8624394721017818,0.5440693202372702
Llama-3.2-3B,Mental,J,normal,0.1888750120088385,0.5943192263078836
Llama-3.2-3B,Mental,J,depression,0.8111249879911614,0.5943192263078836
Llama-3.2-3B,Mental,P,normal,0.5010455288267233,0.7734170753158666
Llama-3.2-3B,Mental,P,depression,0.4989544711732767,0.7734170753158666
Qwen2.5-3B,FiQA-SA,Base,positive,0.5439453124999999,0.6343998774617803
Qwen2.5-3B,FiQA-SA,Base,negative,0.4560546875,0.6343998774617803
Qwen2.5-3B,FiQA-SA,E,positive,0.5933147632311978,0.6514843484883209
Qwen2.5-3B,FiQA-SA,E,negative,0.4066852367688022,0.6514843484883209
Qwen2.5-3B,FiQA-SA,I,positive,0.5123456790123456,0.6127829750894782
Qwen2.5-3B,FiQA-SA,I,negative,0.4876543209876544,0.6127829750894782
Qwen2.5-3B,FiQA-SA,S,positive,0.5434574976122254,0.6441622069943894
Qwen2.5-3B,FiQA-SA,S,negative,0.4565425023877746,0.6441622069943894
Qwen2.5-3B,FiQA-SA,N,positive,0.5557729941291585,0.6378668580738237
Qwen2.5-3B,FiQA-SA,N,negative,0.4442270058708414,0.6378668580738237
Qwen2.5-3B,FiQA-SA,F,positive,0.5887764489420424,0.6376767932922134
Qwen2.5-3B,FiQA-SA,F,negative,0.41122355105795766,0.6376767932922134
Qwen2.5-3B,FiQA-SA,T,positive,0.5177610333692143,0.6056967627951487
Qwen2.5-3B,FiQA-SA,T,negative,0.48223896663078575,0.6056967627951487
Qwen2.5-3B,FiQA-SA,J,positive,0.5774518790100824,0.6354356250639531
Qwen2.5-3B,FiQA-SA,J,negative,0.42254812098991745,0.6354356250639531
Qwen2.5-3B,FiQA-SA,P,positive,0.5282631038026722,0.6228626850946063
Qwen2.5-3B,FiQA-SA,P,negative,0.47173689619732784,0.6228626850946063
Qwen2.5-3B,IMDb,Base,positive,0.4691,0.93143453300646
Qwen2.5-3B,IMDb,Base,negative,0.5309,0.93143453300646
Qwen2.5-3B,IMDb,E,positive,0.4813,0.9356775070674463
Qwen2.5-3B,IMDb,E,negative,0.5187,0.9356775070674463
Qwen2.5-3B,IMDb,I,positive,0.4553,0.9245492425961388
Qwen2.5-3B,IMDb,I,negative,0.5447,0.9245492425961388
Qwen2.5-3B,IMDb,S,positive,0.4607,0.927588160638224
Qwen2.5-3B,IMDb,S,negative,0.5393,0.927588160638224
Qwen2.5-3B,IMDb,N,positive,0.4778,0.9337673579046696
Qwen2.5-3B,IMDb,N,negative,0.5222,0.9337673579046696
Qwen2.5-3B,IMDb,F,positive,0.4851,0.9358857659989096
Qwen2.5-3B,IMDb,F,negative,0.5149,0.9358857659989096
Qwen2.5-3B,IMDb,T,positive,0.4565,0.9265610351187034
Qwen2.5-3B,IMDb,T,negative,0.5435,0.9265610351187034
Qwen2.5-3B,IMDb,J,positive,0.4701,0.9318390634411068
Qwen2.5-3B,IMDb,J,negative,0.5299,0.9318390634411068
Qwen2.5-3B,IMDb,P,positive,0.4706,0.9307401345426932
Qwen2.5-3B,IMDb,P,negative,0.5294,0.9307401345426932
Qwen2.5-3B,IMDb-Sklearn,Base,positive,0.44174417441744174,0.9192950359506324
Qwen2.5-3B,IMDb-Sklearn,Base,negative,0.5582558255825583,0.9192950359506324
Qwen2.5-3B,IMDb-Sklearn,E,positive,0.4669466946694669,0.9344852586066013
Qwen2.5-3B,IMDb-Sklearn,E,negative,0.5330533053305331,0.9344852586066013
Qwen2.5-3B,IMDb-Sklearn,I,positive,0.44104410441044106,0.918185140990316
Qwen2.5-3B,IMDb-Sklearn,I,negative,0.5589558955895589,0.918185140990316
Qwen2.5-3B,IMDb-Sklearn,S,positive,0.4514,0.9262452891683712
Qwen2.5-3B,IMDb-Sklearn,S,negative,0.5486,0.9262452891683712
Qwen2.5-3B,IMDb-Sklearn,N,positive,0.45939187837567513,0.9294884086045874
Qwen2.5-3B,IMDb-Sklearn,N,negative,0.5406081216243248,0.9294884086045874
Qwen2.5-3B,IMDb-Sklearn,F,positive,0.4518451845184518,0.9250899174177014
Qwen2.5-3B,IMDb-Sklearn,F,negative,0.5481548154815482,0.9250899174177014
Qwen2.5-3B,IMDb-Sklearn,T,positive,0.43064451561249,0.9106556960035432
Qwen2.5-3B,IMDb-Sklearn,T,negative,0.5693554843875099,0.9106556960035432
Qwen2.5-3B,IMDb-Sklearn,J,positive,0.4558455845584558,0.9295239009464108
Qwen2.5-3B,IMDb-Sklearn,J,negative,0.5441544154415442,0.9295239009464108
Qwen2.5-3B,IMDb-Sklearn,P,positive,0.4548454845484548,0.9267127691626648
Qwen2.5-3B,IMDb-Sklearn,P,negative,0.5451545154515451,0.9267127691626648
Qwen2.5-3B,SST-2,Base,positive,0.3180862776498849,0.7547073485797242
Qwen2.5-3B,SST-2,Base,negative,0.681913722350115,0.7547073485797242
Qwen2.5-3B,SST-2,E,positive,0.36298149074537267,0.7988573889011605
Qwen2.5-3B,SST-2,E,negative,0.6370185092546273,0.7988573889011605
Qwen2.5-3B,SST-2,I,positive,0.2712797917083917,0.7061132160909569
Qwen2.5-3B,SST-2,I,negative,0.7287202082916083,0.7061132160909569
Qwen2.5-3B,SST-2,S,positive,0.32359415649389633,0.7610515912286233
Qwen2.5-3B,SST-2,S,negative,0.6764058435061037,0.7610515912286233
Qwen2.5-3B,SST-2,N,positive,0.3175540432345877,0.7537243303973573
Qwen2.5-3B,SST-2,N,negative,0.6824459567654123,0.7537243303973573
Qwen2.5-3B,SST-2,F,positive,0.37477495499099817,0.8096787734133709
Qwen2.5-3B,SST-2,F,negative,0.6252250450090018,0.8096787734133709
Qwen2.5-3B,SST-2,T,positive,0.26470293557759744,0.6989326267045294
Qwen2.5-3B,SST-2,T,negative,0.7352970644224026,0.6989326267045294
Qwen2.5-3B,SST-2,J,positive,0.33066613322664534,0.7674134795597936
Qwen2.5-3B,SST-2,J,negative,0.6693338667733547,0.7674134795597936
Qwen2.5-3B,SST-2,P,positive,0.30434782608695654,0.7406896278802304
Qwen2.5-3B,SST-2,P,negative,0.6956521739130435,0.7406896278802304
Qwen2.5-3B,News,Base,bullish,0.26116838487972516,0.7485947871882003
Qwen2.5-3B,News,Base,neutral,0.5759785432905876,0.7485947871882003
Qwen2.5-3B,News,Base,bearish,0.16285307182968733,0.7485947871882003
Qwen2.5-3B,News,E,bullish,0.2598273405414466,0.7484372080395824
Qwen2.5-3B,News,E,neutral,0.585868745285391,0.7484372080395824
Qwen2.5-3B,News,E,bearish,0.1543039141731623,0.7484372080395824
Qwen2.5-3B,News,I,bullish,0.1912664487469617,0.7495360996063801
Qwen2.5-3B,News,I,neutral,0.6768921297460397,0.7495360996063801
