pair,dataset,run,model,test,statistic,df,p_value,n_total,n_used,n_dropped,labels
information,imdb,run-001,N,stuart_maxwell,20.12873563218392,2,4.256970039476739e-05,10000,10000,0,positive|negative|neutral
information,imdb,run-002,N,stuart_maxwell,20.12873563218392,2,4.256970039476739e-05,10000,10000,0,positive|negative|neutral
information,imdb,run-001,S,stuart_maxwell,39.2748201438849,2,2.9619734877256966e-09,10000,10000,0,positive|negative|neutral
information,imdb,run-002,S,stuart_maxwell,39.2748201438849,2,2.9619734877256966e-09,10000,10000,0,positive|negative|neutral
information,mental,run-001,N,mcnemar_exact,2786.0,1,0.0,31747,31678,69,normal|depression
information,mental,run-002,N,mcnemar_exact,2786.0,1,0.0,31747,31678,69,normal|depression
information,mental,run-001,S,mcnemar_exact,1677.0,1,4.742249854018528e-69,31747,31690,57,normal|depression
information,mental,run-002,S,mcnemar_exact,1677.0,1,4.742249854018528e-69,31747,31690,57,normal|depression
information,news,run-001,N,stuart_maxwell,3.982717989002357,2,0.13650978328591554,11931,11931,0,neutral|bearish|bullish
information,news,run-002,N,stuart_maxwell,3.982717989002357,2,0.13650978328591554,11931,11931,0,neutral|bearish|bullish
information,news,run-001,S,stuart_maxwell,140.06298342541436,2,3.8522067661650966e-31,11931,11931,0,neutral|bearish|bullish
information,news,run-002,S,stuart_maxwell,140.06298342541436,2,3.8522067661650966e-31,11931,11931,0,neutral|bearish|bullish
information,fiqasa,run-001,N,stuart_maxwell,30.953917050691242,2,1.898638642878406e-07,1173,1173,0,positive|negative|neutral
information,fiqasa,run-002,N,stuart_maxwell,30.953917050691242,2,1.898638642878406e-07,1173,1173,0,positive|negative|neutral
information,fiqasa,run-001,S,stuart_maxwell,32.0,2,1.1253517471925916e-07,1173,1173,0,positive|negative|neutral
information,fiqasa,run-002,S,stuart_maxwell,32.0,2,1.1253517471925916e-07,1173,1173,0,positive|negative|neutral
information,imdb_sklearn,run-001,N,stuart_maxwell,119.08751536827987,2,1.3818936016491583e-26,10000,10000,0,positive|negative|neutral
information,imdb_sklearn,run-002,N,stuart_maxwell,119.08751536827987,2,1.3818936016491583e-26,10000,10000,0,positive|negative|neutral
information,imdb_sklearn,run-001,S,stuart_maxwell,22.955284552845526,2,1.0359130259707558e-05,10000,10000,0,positive|negative|neutral
information,imdb_sklearn,run-002,S,stuart_maxwell,22.955284552845526,2,1.0359130259707558e-05,10000,10000,0,positive|negative|neutral
information,sst2,run-001,N,stuart_maxwell,113.940795559667,2,1.8116346242056536e-25,10000,10000,0,positive|negative|neutral
information,sst2,run-002,N,stuart_maxwell,113.940795559667,2,1.8116346242056536e-25,10000,10000,0,positive|negative|neutral
information,sst2,run-001,S,stuart_maxwell,150.80076154212279,2,1.7948604904860626e-33,10000,10000,0,positive|negative|neutral
information,sst2,run-002,S,stuart_maxwell,150.80076154212279,2,1.7948604904860626e-33,10000,10000,0,positive|negative|neutral
