pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
information,imdb,run-001,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
information,imdb,run-001,N,positive|negative|neutral,10000.0,4867.0,0.4867,5091.0,0.5091,42.0,0.0042,0.9443,0.9484984339066387,0.9442999999999999,0.9462748118502493,0.9484984339066387,0.9443,0.9462748118502492,10000,0.9443,0.9484984339066387,0.9442999999999999,0.9462748118502493,0.9484984339066387,0.9443,0.9462748118502492,10000,,,,,,,,
information,imdb,run-001,S,positive|negative|neutral,10000.0,4816.0,0.4816,5163.0,0.5163,21.0,0.0021,0.9437,0.9462063112949732,0.9437,0.9446656720396414,0.9462063112949732,0.9437,0.9446656720396414,10000,0.9437,0.9462063112949732,0.9437,0.9446656720396414,0.9462063112949732,0.9437,0.9446656720396414,10000,,,,,,,,
information,imdb,run-002,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
information,imdb,run-002,N,positive|negative|neutral,10000.0,4867.0,0.4867,5091.0,0.5091,42.0,0.0042,0.9443,0.9484984339066387,0.9442999999999999,0.9462748118502493,0.9484984339066387,0.9443,0.9462748118502492,10000,0.9443,0.9484984339066387,0.9442999999999999,0.9462748118502493,0.9484984339066387,0.9443,0.9462748118502492,10000,,,,,,,,
information,imdb,run-002,S,positive|negative|neutral,10000.0,4816.0,0.4816,5163.0,0.5163,21.0,0.0021,0.9437,0.9462063112949732,0.9437,0.9446656720396414,0.9462063112949732,0.9437,0.9446656720396414,10000,0.9437,0.9462063112949732,0.9437,0.9446656720396414,0.9462063112949732,0.9437,0.9446656720396414,10000,,,,,,,,
information,imdb,avg,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
information,imdb,avg,N,positive|negative|neutral,10000.0,4867.0,0.4867,5091.0,0.5091,42.0,0.0042,0.9443,0.9484984339066387,0.9442999999999999,0.9462748118502493,0.9484984339066387,0.9443,0.9462748118502492,10000,0.9443,0.9484984339066387,0.9442999999999999,0.9462748118502493,0.9484984339066387,0.9443,0.9462748118502492,10000,,,,,,,,
information,imdb,avg,S,positive|negative|neutral,10000.0,4816.0,0.4816,5163.0,0.5163,21.0,0.0021,0.9437,0.9462063112949732,0.9437,0.9446656720396414,0.9462063112949732,0.9437,0.9446656720396414,10000,0.9437,0.9462063112949732,0.9437,0.9446656720396414,0.9462063112949732,0.9437,0.9446656720396414,10000,,,,,,,,
information,mental,run-001,BASE,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,12197.0,0.3841937820896463,19549.0,0.6157747188710744,,,,
