model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
llama-3b_newlayout,energy,I,imdb_sklearn,stuart_maxwell,2,2,1.0,9.291982736789882e-12,3.8114288244046413e-07,7.622764728981915e-07,0.04396643077613205,0.006149999999999994,7.796529350501751e-05
llama-3b_newlayout,energy,I,mental,mcnemar_exact,2,2,1.0,0.0,1.1152092231638602e-270,2.2304184463277204e-270,0.18378853663401165,0.034563809280189706,0.00200378883394952
llama-3b_newlayout,energy,I,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.2675193719204247,0.14726343139720058,0.018173535414964796
llama-3b_newlayout,energy,I,sst2,stuart_maxwell,2,2,1.0,3.1918202888427356e-95,5.419440391526122e-87,1.083888075113404e-86,0.14409970107276396,0.041350000000000026,0.0022806587272012077
llama-3b_newlayout,execution,J,fiqasa,stuart_maxwell,2,2,1.0,3.5775438585797236e-66,6.279602152229774e-66,8.981660445879826e-66,0.3578796763547774,0.23017902813299235,0.07682169087111101
llama-3b_newlayout,execution,J,imdb,stuart_maxwell,2,2,1.0,2.5646490762215576e-14,9.714240117645667e-10,1.942822377038371e-09,0.05036439214304812,0.007149999999999984,0.00016454892117966395
llama-3b_newlayout,execution,J,imdb_sklearn,stuart_maxwell,2,2,1.0,1.045557361220534e-05,4.278627658480113e-05,7.511697955739692e-05,0.032340661525583334,0.0038500000000000166,0.0007334394120879698
llama-3b_newlayout,execution,J,mental,mcnemar_exact,2,2,1.0,2.2894974118683677e-187,1.8744269726095177e-172,3.748853945219033e-172,0.15776007405334852,0.04582803256380393,0.0027428946285814925
llama-3b_newlayout,execution,J,news,stuart_maxwell,2,2,1.0,2.197802980718224e-71,2.8237552572801324e-71,3.4497075338420406e-71,0.11669411518300044,0.03612438186237532,0.0013484708562537789
llama-3b_newlayout,execution,J,sst2,stuart_maxwell,2,2,1.0,1.7611871830552177e-131,7.324762112994072e-116,1.464952422598814e-115,0.1680615110851097,0.05580000000000003,0.007737777132548859
llama-3b_newlayout,execution,P,fiqasa,stuart_maxwell,2,2,1.0,2.0289835828732195e-25,4.2125417155137865e-25,6.396099848154354e-25,0.21904534351153482,0.09207161125319693,0.010883178888187107
llama-3b_newlayout,execution,P,imdb,stuart_maxwell,2,2,1.0,8.058464072846151e-27,3.841032670440775e-22,7.681984756240821e-22,0.07361993875346551,0.01214999999999999,0.0009274607345304294
llama-3b_newlayout,execution,P,imdb_sklearn,stuart_maxwell,2,2,1.0,6.067537089743221e-29,3.8090533934790715e-26,7.6120392498684e-26,0.07832808873606283,0.016449999999999992,0.003061131536554118
llama-3b_newlayout,execution,P,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.597144143152242,0.35745902608908103,0.11007316103502338
llama-3b_newlayout,execution,P,news,stuart_maxwell,2,2,1.0,1.4504874534702362e-24,1.6522207595004546e-19,3.3044270141263745e-19,0.06377475194686771,0.023049199564160586,0.0006339177542795865
llama-3b_newlayout,execution,P,sst2,stuart_maxwell,2,2,1.0,1.3656764891105959e-190,3.703755464967998e-176,7.407510929935982e-176,0.20494992846918708,0.0711,0.01173336691843259
