model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
qwen-7b_newlayout,execution,P,imdb_sklearn,stuart_maxwell,2,2,1.0,1.0466910100636915e-18,1.0466910100636915e-18,1.0466910100636915e-18,0.06434352951532003,0.010499999999999975,0.0006930159016355145
qwen-7b_newlayout,execution,P,mental,mcnemar_exact,2,2,1.0,2.437218572759079e-208,5.050360482774472e-208,7.6635023927898645e-208,0.16532440315959634,0.040066330292429495,0.0012512140398429697
qwen-7b_newlayout,execution,P,news,stuart_maxwell,2,2,1.0,1.2204454726931417e-91,1.2204454726931417e-91,1.2204454726931417e-91,0.132459638785558,0.03553767496437854,0.0009503100552516342
qwen-7b_newlayout,execution,P,sst2,stuart_maxwell,2,2,1.0,3.997556067759954e-08,5.639709134257948e-08,7.281862200755943e-08,0.040906970775388116,0.004649999999999994,8.039927056096316e-05
qwen-7b_newlayout,information,N,fiqasa,stuart_maxwell,2,2,1.0,1.898638642878406e-07,1.898638642878406e-07,1.898638642878406e-07,0.11486660978619029,0.030690537084398978,0.0008149132008715473
qwen-7b_newlayout,information,N,imdb,stuart_maxwell,2,2,1.0,4.256970039476739e-05,4.256970039476739e-05,4.256970039476739e-05,0.0317243878051129,0.002600000000000024,6.323468515633272e-05
qwen-7b_newlayout,information,N,imdb_sklearn,stuart_maxwell,2,2,1.0,1.3818936016491583e-26,1.3818936016491583e-26,1.3818936016491583e-26,0.07716460178355095,0.013800000000000026,0.0013067481642005565
qwen-7b_newlayout,information,N,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.27824736601389255,0.08245666610886734,0.005454271972501727
qwen-7b_newlayout,information,N,news,stuart_maxwell,2,0,0.0,0.13650978328591554,0.13650978328591554,0.13650978328591554,0.01291922188314674,0.0026820886765568305,6.314451899920581e-06
qwen-7b_newlayout,information,N,sst2,stuart_maxwell,2,2,1.0,1.2746619071887693e-26,1.2746619071887693e-26,1.2746619071887693e-26,0.07721692265639128,0.012599999999999986,0.00013429075642898219
qwen-7b_newlayout,information,S,fiqasa,stuart_maxwell,2,2,1.0,1.1253517471925916e-07,1.1253517471925916e-07,1.1253517471925916e-07,0.11679143249475675,0.027280477408354625,0.0006178432205260417
qwen-7b_newlayout,information,S,imdb,stuart_maxwell,2,2,1.0,2.9619734877256966e-09,2.9619734877256966e-09,2.9619734877256966e-09,0.044314117470556094,0.004599999999999993,8.205317789643945e-05
qwen-7b_newlayout,information,S,imdb_sklearn,stuart_maxwell,2,2,1.0,1.0359130259707558e-05,1.0359130259707558e-05,1.0359130259707558e-05,0.03387866921297642,0.004099999999999997,0.0002348190349638759
qwen-7b_newlayout,information,S,mental,mcnemar_exact,2,2,1.0,1.7603424794678207e-69,2.4116146433910486e-69,3.0628868073142767e-69,0.09749437592191709,0.022370978839865246,0.00038588569165556256
qwen-7b_newlayout,information,S,news,stuart_maxwell,2,2,1.0,3.8522067661650966e-31,3.8522067661650966e-31,3.8522067661650966e-31,0.07661402264864729,0.014919118263347617,0.00019250053966997274
qwen-7b_newlayout,information,S,sst2,stuart_maxwell,2,2,1.0,4.4606725260976854e-33,4.4606725260976854e-33,4.4606725260976854e-33,0.0863075944071751,0.014600000000000023,0.0003588846248263164
