dataset,df,effect_cramers_v,effect_js,effect_tv,labels,model,model_root,n_dropped,n_total,n_used,p_value,pair,run,source_file,statistic,test
imdb,2,0.07144780017739848,0.0001269704099881217,0.011399999999999981,positive|negative|neutral,E,llama-3b_newlayout,0,10000,10000,6.763737602014477e-23,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,102.09576300378924,stuart_maxwell
imdb,2,0.07865680756197334,0.00012457126220557875,0.0128,positive|negative|neutral,E,llama-3b_newlayout,0,10000,10000,1.3510252550844588e-27,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,123.73786751682611,stuart_maxwell
imdb,2,0.07631985422715197,0.00014298732486495776,0.012399999999999961,positive|negative|neutral,I,llama-3b_newlayout,0,10000,10000,5.0531455234330976e-26,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,116.49440298507453,stuart_maxwell
imdb,2,0.07528097350227562,0.00023866825079450185,0.011799999999999998,positive|negative|neutral,I,llama-3b_newlayout,0,10000,10000,2.440926329137122e-25,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,113.3444994290065,stuart_maxwell
mental,1,0.18617038980213874,0.0017371568296625783,0.03601498223260878,normal|depression,E,llama-3b_newlayout,510,31747,31237,0.0,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1169.0,mcnemar_exact
mental,1,0.20242853878090492,0.0023269398344547988,0.04197752233357885,normal|depression,E,llama-3b_newlayout,516,31747,31231,0.0,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1343.0,mcnemar_exact
mental,1,0.1938506488636508,0.002425081488402517,0.03801905733133626,normal|depression,I,llama-3b_newlayout,368,31747,31379,0.0,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1207.0,mcnemar_exact
mental,1,0.1737264244043725,0.0015824961794965228,0.031108561229043152,normal|depression,I,llama-3b_newlayout,373,31747,31374,2.2304184463277204e-270,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1006.0,mcnemar_exact
news,2,0.24827138588265296,0.014232904190250528,0.1212806973430559,neutral|bearish|bullish,E,llama-3b_newlayout,0,11931,11931,0.0,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1470.8222071695993,stuart_maxwell
news,2,0.24979803403577183,0.01449422036034536,0.12186740424105269,neutral|bearish|bullish,E,llama-3b_newlayout,0,11931,11931,0.0,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1488.966317417756,stuart_maxwell
news,2,0.2681936059632954,0.018358019253771507,0.148185399379767,neutral|bearish|bullish,I,llama-3b_newlayout,0,11931,11931,0.0,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1716.3414088917043,stuart_maxwell
news,2,0.266845137877554,0.017989051576158085,0.14634146341463417,neutral|bearish|bullish,I,llama-3b_newlayout,0,11931,11931,0.0,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,1699.1253894033518,stuart_maxwell
fiqasa,2,0.3980105986493149,0.12392500173803607,0.2855924978687127,positive|negative|neutral,E,llama-3b_newlayout,0,1173,1173,1.996916732157729e-81,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,371.63557635083833,stuart_maxwell
fiqasa,2,0.40195100194653705,0.12370696729626067,0.2966751918158568,positive|negative|neutral,E,llama-3b_newlayout,0,1173,1173,4.949455520108961e-83,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,379.0305702878255,stuart_maxwell
