pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
decision,imdb,run-001,F,stuart_maxwell,159.99999999999994,2,1.80485138784546e-35,0.0894427190999915,0.0159999999999999,0.0001850611196601,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb,run-002,F,stuart_maxwell,159.99999999999994,2,1.80485138784546e-35,0.0894427190999915,0.0159999999999999,0.0001850611196601,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb,run-001,T,stuart_maxwell,125.99999999999994,2,4.359610000063195e-28,0.0793725393319377,0.0125999999999999,0.0001151617090095,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb,run-002,T,stuart_maxwell,125.99999999999994,2,4.359610000063195e-28,0.0793725393319377,0.0125999999999999,0.0001151617090095,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,mental,run-001,F,mcnemar_exact,1807.0,1,0.0,0.238576536938775,0.0569187639776986,0.0023421962038382,31747,31747,0,normal|depression,qwen-3b_newlayout,decision
decision,mental,run-002,F,mcnemar_exact,1807.0,1,0.0,0.238576536938775,0.0569187639776986,0.0023421962038382,31747,31747,0,normal|depression,qwen-3b_newlayout,decision
decision,mental,run-001,T,mcnemar_exact,1174.0,1,0.0,0.1916463124824113,0.0368538759567833,0.0009827006626798,31747,31747,0,normal|depression,qwen-3b_newlayout,decision
decision,mental,run-002,T,mcnemar_exact,1174.0,1,0.0,0.1916463124824113,0.0368538759567833,0.0009827006626798,31747,31747,0,normal|depression,qwen-3b_newlayout,decision
decision,news,run-001,F,stuart_maxwell,873.0388507408745,2,2.642544552051358e-190,0.1912772699416969,0.0733383622496018,0.0051542165711713,11931,11931,0,neutral|bearish|bullish,qwen-3b_newlayout,decision
decision,news,run-002,F,stuart_maxwell,873.0388507408745,2,2.642544552051358e-190,0.1912772699416969,0.0733383622496018,0.0051542165711713,11931,11931,0,neutral|bearish|bullish,qwen-3b_newlayout,decision
decision,news,run-001,T,stuart_maxwell,520.0259765412222,2,1.1961729327975912e-113,0.1476247239199704,0.0418238203000587,0.0017728731666684,11931,11931,0,neutral|bearish|bullish,qwen-3b_newlayout,decision
decision,news,run-002,T,stuart_maxwell,520.0259765412222,2,1.1961729327975912e-113,0.1476247239199704,0.0418238203000587,0.0017728731666684,11931,11931,0,neutral|bearish|bullish,qwen-3b_newlayout,decision
decision,fiqasa,run-001,F,stuart_maxwell,85.83779705771406,2,2.293819284244738e-19,0.1912825169830568,0.0707587382779198,0.0071628121337105,1173,1173,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,fiqasa,run-002,F,stuart_maxwell,85.83779705771406,2,2.293819284244738e-19,0.1912825169830568,0.0707587382779198,0.0071628121337105,1173,1173,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,fiqasa,run-001,T,stuart_maxwell,97.34206471494608,2,7.285162083938075e-22,0.2036977692769778,0.0809889173060528,0.0089653459579134,1173,1173,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,fiqasa,run-002,T,stuart_maxwell,97.34206471494608,2,7.285162083938075e-22,0.2036977692769778,0.0809889173060528,0.0089653459579134,1173,1173,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb_sklearn,run-001,F,stuart_maxwell,93.5871559633027,2,4.7621963087290676e-21,0.0684058316093382,0.0100999999999999,7.443620140060864e-05,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb_sklearn,run-002,F,stuart_maxwell,93.5871559633027,2,4.7621963087290676e-21,0.0684058316093382,0.0100999999999999,7.443620140060864e-05,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb_sklearn,run-001,T,stuart_maxwell,112.03669724770629,2,4.693969975249699e-25,0.0748454064214051,0.0113999999999999,0.0003139264358044,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,imdb_sklearn,run-002,T,stuart_maxwell,112.03669724770629,2,4.693969975249699e-25,0.0748454064214051,0.0113999999999999,0.0003139264358044,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,sst2,run-001,F,stuart_maxwell,569.1441601216118,2,2.581760344799719e-124,0.1686926436039242,0.0568999999999999,0.0027341792050141,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,sst2,run-002,F,stuart_maxwell,569.1441601216118,2,2.581760344799719e-124,0.1686926436039242,0.0568999999999999,0.0027341792050141,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,sst2,run-001,T,stuart_maxwell,537.3408380237618,2,2.079311581343535e-117,0.1639116893366305,0.0536,0.0026199313391118,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
decision,sst2,run-002,T,stuart_maxwell,537.3408380237618,2,2.079311581343535e-117,0.1639116893366305,0.0536,0.0026199313391118,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,decision
energy,imdb,run-001,E,stuart_maxwell,122.00000000000006,2,3.221340285992432e-27,0.0781024967590665,0.0121999999999999,0.0001076328554367,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,energy
energy,imdb,run-002,E,stuart_maxwell,122.00000000000006,2,3.221340285992432e-27,0.0781024967590665,0.0121999999999999,0.0001076328554367,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,energy
energy,imdb,run-001,I,stuart_maxwell,137.99999999999994,2,1.0806392777073147e-30,0.0830662386291807,0.0137999999999999,0.0001381675857722,10000,10000,0,positive|negative|neutral,qwen-3b_newlayout,energy
